learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
28.0,0.009623471,0.0,28.0,0.0,0.0,0.015864285714285765,0.0,?,0.0,0.2336000000000002,28.0,0.0
29.0,0.009919299,0.0,29.0,0.0,0.0,0.015917241379310398,0.0,?,0.0,0.2348000000000002,29.0,0.0
30.0,0.010222966,0.0,30.0,0.0,0.0,0.015986666666666722,0.0,?,0.0,0.2360000000000002,30.0,0.0
31.0,0.010530603,0.0,31.0,0.0,0.0,0.01607096774193554,0.0,?,0.0,0.23720000000000022,31.0,0.0
32.0,0.010861674,0.0,32.0,0.0,0.0,0.016168750000000058,0.0,?,0.0,0.23840000000000022,32.0,0.0
33.0,0.011162438,0.0,33.0,0.0,0.0,0.01627878787878794,0.0,?,0.0,0.23960000000000023,33.0,0.0
34.0,0.011467496,0.0,34.0,0.0,0.0,0.01640000000000006,0.0,?,0.0,0.24080000000000024,34.0,0.0
35.0,0.011773676,0.0,35.0,0.0,0.0,0.016531428571428634,0.0,?,0.0,0.24200000000000024,35.0,0.0
36.0,0.012079801,0.0,36.0,0.0,0.0,0.016672222222222286,0.0,?,0.0,0.24320000000000025,36.0,0.0
37.0,0.012372124,0.0,37.0,0.0,0.0,0.016821621621621687,0.0,?,0.0,0.24440000000000026,37.0,0.0
38.0,0.012667714,0.0,38.0,0.0,0.0,0.01697894736842112,0.0,?,0.0,0.24560000000000026,38.0,0.0
39.0,0.01296426,0.0,39.0,0.0,0.0,0.017143589743589812,0.0,?,0.0,0.24680000000000027,39.0,0.0
40.0,0.013253624,0.0,40.0,0.0,0.0,0.01731500000000007,0.0,?,0.0,0.24800000000000028,40.0,0.0
41.0,0.013556246,0.0,41.0,0.0,0.0,0.01749268292682934,0.0,?,0.0,0.24920000000000028,41.0,0.0
42.0,0.013842525,0.0,42.0,0.0,0.0,0.01767619047619055,0.0,?,0.0,0.2504000000000003,42.0,0.0
43.0,0.014164644,0.0,43.0,0.0,0.0,0.01786511627906984,0.0,?,0.0,0.25160000000000027,43.0,0.0
